,translated_question,translated_context,retriever_score,ranker_score,rank,native_context,native_question
444,What type of transfer may be carried out on the territory of foreign states?,4. Cross-border transfer of personal data on the territory of foreign states that do not provide adequate protection of the rights of personal data subjects may be carried out in the following cases:,0.6606302,0.595004,0,"4. Трансграничная передача персональных данных на территории иностранных государств, не обеспечивающих адекватной защиты прав субъектов персональных данных, может осуществляться в случаях:",Какой вид перевода может быть осуществлен на территории иностранных государств?
445,What is the definition of a cross-border transfer of personal data?,4. Cross-border transfer of personal data on the territory of foreign states that do not provide adequate protection of the rights of personal data subjects may be carried out in the following cases:,0.83454627,0.6732204,2,"4. Трансграничная передача персональных данных на территории иностранных государств, не обеспечивающих адекватной защиты прав субъектов персональных данных, может осуществляться в случаях:",Каково определение трансграничной передачи персональных данных?
446,Where can cross-border transfer of personal data be carried out?,4. Cross-border transfer of personal data on the territory of foreign states that do not provide adequate protection of the rights of personal data subjects may be carried out in the following cases:,0.80084693,0.76128626,2,"4. Трансграничная передача персональных данных на территории иностранных государств, не обеспечивающих адекватной защиты прав субъектов персональных данных, может осуществляться в случаях:",Где может осуществляться трансграничная передача персональных данных?
447,"In cases where the transfer of personal data is not adequate, the transfer of data may be carried out in the following ways:",4. Cross-border transfer of personal data on the territory of foreign states that do not provide adequate protection of the rights of personal data subjects may be carried out in the following cases:,0.6515616,0.59057844,1,"4. Трансграничная передача персональных данных на территории иностранных государств, не обеспечивающих адекватной защиты прав субъектов персональных данных, может осуществляться в случаях:","В случаях, когда передача персональных данных не является адекватной, передача данных может осуществляться следующими способами:"
448,In what cases may cross-border transfer of personal data on the territory of foreign states be carried out?,4. Cross-border transfer of personal data on the territory of foreign states that do not provide adequate protection of the rights of personal data subjects may be carried out in the following cases:,0.9022948,0.8682868,0,"4. Трансграничная передача персональных данных на территории иностранных государств, не обеспечивающих адекватной защиты прав субъектов персональных данных, может осуществляться в случаях:",В каких случаях может осуществляться трансграничная передача персональных данных на территории иностранных государств?
449,What type of transfer of data may be carried out on the territory of foreign states?,4. Cross-border transfer of personal data on the territory of foreign states that do not provide adequate protection of the rights of personal data subjects may be carried out in the following cases:,0.7819974,0.681947,0,"4. Трансграничная передача персональных данных на территории иностранных государств, не обеспечивающих адекватной защиты прав субъектов персональных данных, может осуществляться в случаях:",Какой вид передачи данных может осуществляться на территории иностранных государств?
450,What is the possibility of cross-border transfer of personal data?,4. Cross-border transfer of personal data on the territory of foreign states that do not provide adequate protection of the rights of personal data subjects may be carried out in the following cases:,0.82355845,0.7784922,1,"4. Трансграничная передача персональных данных на территории иностранных государств, не обеспечивающих адекватной защиты прав субъектов персональных данных, может осуществляться в случаях:",Какова возможность трансграничной передачи персональных данных?
451,What is the purpose of the consent in writing of the subject of personal data?,1) the consent in writing of the subject of personal data to the cross-border transfer of his personal data;,0.7702313,0.7303138,6,1) наличия согласия в письменной форме субъекта персональных данных на трансграничную передачу его персональных данных;,Какова цель согласия в письменной форме субъекта персональных данных?
452,What is the purpose of the consent in writing of the subject of personal data to the cross-border transfer of his personal data?,1) the consent in writing of the subject of personal data to the cross-border transfer of his personal data;,0.9419468,0.86056817,0,1) наличия согласия в письменной форме субъекта персональных данных на трансграничную передачу его персональных данных;,Для чего предназначено согласие в письменной форме субъекта персональных данных на трансграничную передачу его персональных данных?
453,Whose consent is required for the cross-border transfer of personal data?,1) the consent in writing of the subject of personal data to the cross-border transfer of his personal data;,0.84763515,0.7832147,0,1) наличия согласия в письменной форме субъекта персональных данных на трансграничную передачу его персональных данных;,Чье согласие требуется для трансграничной передачи персональных данных?
454,What is the consent in writing of the subject of personal data to the cross-border transfer of his data?,1) the consent in writing of the subject of personal data to the cross-border transfer of his personal data;,0.93505794,0.9121904,0,1) наличия согласия в письменной форме субъекта персональных данных на трансграничную передачу его персональных данных;,Что такое письменное согласие субъекта персональных данных на трансграничную передачу его данных?
455,What is the subject's consent in writing to the transfer of his personal data?,1) the consent in writing of the subject of personal data to the cross-border transfer of his personal data;,0.855911,0.7683495,0,1) наличия согласия в письменной форме субъекта персональных данных на трансграничную передачу его персональных данных;,Что такое согласие субъекта в письменной форме на передачу его персональных данных?
456,What is the consent in writing of the subject to the cross-border transfer of his personal data?,1) the consent in writing of the subject of personal data to the cross-border transfer of his personal data;,0.91554993,0.90663064,0,1) наличия согласия в письменной форме субъекта персональных данных на трансграничную передачу его персональных данных;,Что такое письменное согласие субъекта на трансграничную передачу его персональных данных?
457,What is the subject's consent in writing to the cross-border transfer of his personal data?,1) the consent in writing of the subject of personal data to the cross-border transfer of his personal data;,0.8974166,0.8777081,0,1) наличия согласия в письменной форме субъекта персональных данных на трансграничную передачу его персональных данных;,Что такое письменное согласие субъекта на трансграничную передачу его персональных данных?
458,What is required to be a subject of the cross-border transfer of personal data?,1) the consent in writing of the subject of personal data to the cross-border transfer of his personal data;,0.78005785,0.6920894,3,1) наличия согласия в письменной форме субъекта персональных данных на трансграничную передачу его персональных данных;,"Что необходимо для того, чтобы быть субъектом трансграничной передачи персональных данных?"
459,What is the legal term for the consent in writing of the subject of personal data to the cross-border transfer of his data?,1) the consent in writing of the subject of personal data to the cross-border transfer of his personal data;,0.9220724,0.86150384,0,1) наличия согласия в письменной форме субъекта персональных данных на трансграничную передачу его персональных данных;,Каков юридический срок согласия в письменной форме субъекта персональных данных на трансграничную передачу его данных?
460,What is the consent in writing of the subject of personal data to the cross-border transfer of his personal data?,1) the consent in writing of the subject of personal data to the cross-border transfer of his personal data;,0.9389809,0.8992859,0,1) наличия согласия в письменной форме субъекта персональных данных на трансграничную передачу его персональных данных;,Что такое письменное согласие субъекта персональных данных на трансграничную передачу его персональных данных?
461,What is the Russian Federation's obligation to observe?,2) provided for by international treaties of the Russian Federation;,0.6593213,0.55567455,2,2) предусмотренных международными договорами Российской Федерации;,Что обязана соблюдать Российская Федерация?
462,"What is the definition of the term ""international treaty""?",2) provided for by international treaties of the Russian Federation;,0.50486547,0.45949352,0,2) предусмотренных международными договорами Российской Федерации;,Каково определение термина «международный договор»?
463,What is the Russian Federation's obligation to do?,2) provided for by international treaties of the Russian Federation;,0.7201405,0.61894846,3,2) предусмотренных международными договорами Российской Федерации;,Что обязана сделать Российская Федерация?
464,What is the definition of the term provided for by international treaties of the Russian Federation?,2) provided for by international treaties of the Russian Federation;,0.7643259,0.8655729,0,2) предусмотренных международными договорами Российской Федерации;,Какое определение термина предусмотрено международными договорами Российской Федерации?
465,What are the names of the countries that have a treaty with Russia?,2) provided for by international treaties of the Russian Federation;,0.656656,0.5840323,0,2) предусмотренных международными договорами Российской Федерации;,"Как называются страны, заключившие договор с Россией?"
466,What is the purpose of the transport complex?,"3) provided for by federal laws, if necessary in order to protect the foundations of the constitutional order of the Russian Federation, ensure the defense of the country and the security of the state, as well as ensure the security of the sustainable and safe functioning of the transport complex, protect the interests of the individual, society and the state in the field of the transport complex from acts of illegal intervention;",0.48105323,0.33307382,0,"3) предусмотренных федеральными законами, если это необходимо в целях защиты основ конституционного строя Российской Федерации, обеспечения обороны страны и безопасности государства, а также обеспечения безопасности устойчивого и безопасного функционирования транспортного комплекса, защиты интересов личности, общества и государства в сфере транспортного комплекса от актов незаконного вмешательства;",Каково назначение транспортного комплекса?
467,4) execution of an agreement to which the subject of personal data is a party;,4) execution of an agreement to which the subject of personal data is a party;,1.0,1.0000001,0,"4) исполнения договора, стороной которого является субъект персональных данных;","4) исполнение договора, стороной которого является субъект персональных данных;"
468,What is the term for the execution of an agreement to which the subject of personal data is a party?,4) execution of an agreement to which the subject of personal data is a party;,0.88182056,0.8796504,0,"4) исполнения договора, стороной которого является субъект персональных данных;","Какой срок исполнения договора, стороной которого является субъект персональных данных?"
469,4) execution of what is the subject of personal data a party to?,4) execution of an agreement to which the subject of personal data is a party;,0.87914497,0.88616776,0,"4) исполнения договора, стороной которого является субъект персональных данных;","4) исполнение, стороной чего является субъект персональных данных?"
470,What is the purpose of the agreement to which the subject of personal data is a party?,4) execution of an agreement to which the subject of personal data is a party;,0.8588697,0.8334286,0,"4) исполнения договора, стороной которого является субъект персональных данных;","Какова цель договора, стороной которого является субъект персональных данных?"
471,Who is a party to the agreement?,4) execution of an agreement to which the subject of personal data is a party;,0.5705879,0.31414005,0,"4) исполнения договора, стороной которого является субъект персональных данных;",Кто является стороной соглашения?
472,What is impossible if it is impossible to obtain consent in writing from the subject of personal data?,"5) protection of life, health, other vital interests of the subject of personal data or other persons if it is impossible to obtain consent in writing from the subject of personal data.",0.8003536,0.57421684,0,"5) защиты жизни, здоровья, иных жизненно важных интересов субъекта персональных данных или других лиц при невозможности получения согласия в письменной форме субъекта персональных данных.","Что невозможно, если невозможно получить согласие в письменной форме от субъекта персональных данных?"
473,How can a person obtain consent in writing from the subject of personal data?,"5) protection of life, health, other vital interests of the subject of personal data or other persons if it is impossible to obtain consent in writing from the subject of personal data.",0.71173036,0.58026534,5,"5) защиты жизни, здоровья, иных жизненно важных интересов субъекта персональных данных или других лиц при невозможности получения согласия в письменной форме субъекта персональных данных.",Каким образом лицо может получить согласие в письменной форме от субъекта персональных данных?
474,Where is consent impossible to obtain?,"5) protection of life, health, other vital interests of the subject of personal data or other persons if it is impossible to obtain consent in writing from the subject of personal data.",0.5701366,0.19737309,0,"5) защиты жизни, здоровья, иных жизненно важных интересов субъекта персональных данных или других лиц при невозможности получения согласия в письменной форме субъекта персональных данных.",Где невозможно получить согласие?
475,Who is a person who is not able to obtain consent in writing from the subject of personal data?,"5) protection of life, health, other vital interests of the subject of personal data or other persons if it is impossible to obtain consent in writing from the subject of personal data.",0.7402066,0.5560646,2,"5) защиты жизни, здоровья, иных жизненно важных интересов субъекта персональных данных или других лиц при невозможности получения согласия в письменной форме субъекта персональных данных.","Кто является лицом, не имеющим возможности получить согласие в письменной форме от субъекта персональных данных?"
476,Who is the person who is unable to obtain consent in writing?,"5) protection of life, health, other vital interests of the subject of personal data or other persons if it is impossible to obtain consent in writing from the subject of personal data.",0.607924,0.28536105,0,"5) защиты жизни, здоровья, иных жизненно важных интересов субъекта персональных данных или других лиц при невозможности получения согласия в письменной форме субъекта персональных данных.","Кто является лицом, которое не может получить согласие в письменной форме?"
477,Whose consent is impossible to obtain in writing?,"5) protection of life, health, other vital interests of the subject of personal data or other persons if it is impossible to obtain consent in writing from the subject of personal data.",0.6760519,0.29625338,0,"5) защиты жизни, здоровья, иных жизненно важных интересов субъекта персональных данных или других лиц при невозможности получения согласия в письменной форме субъекта персональных данных.",Чье согласие невозможно получить в письменной форме?
478,How can a person who has personal data obtain consent in writing?,"5) protection of life, health, other vital interests of the subject of personal data or other persons if it is impossible to obtain consent in writing from the subject of personal data.",0.6832135,0.5669508,5,"5) защиты жизни, здоровья, иных жизненно важных интересов субъекта персональных данных или других лиц при невозможности получения согласия в письменной форме субъекта персональных данных.","Как лицо, имеющее персональные данные, может получить согласие в письменной форме?"
479,What is the purpose of processing personal data in state or municipal information systems?,Article 13. Features of the processing of personal data in state or municipal information systems of personal data,0.8066396,0.6362589,0,Статья 13. Особенности обработки персональных данных в государственных или муниципальных информационных системах персональных данных,Какова цель обработки персональных данных в государственных или муниципальных информационных системах?
480,What type of processing of personal data is used in state or local governments?,Article 13. Features of the processing of personal data in state or municipal information systems of personal data,0.77753055,0.55137926,0,Статья 13. Особенности обработки персональных данных в государственных или муниципальных информационных системах персональных данных,Какой тип обработки персональных данных используется в государственных или местных органах власти?
481,What type of personal data is processed in state or municipal information systems?,Article 13. Features of the processing of personal data in state or municipal information systems of personal data,0.83793384,0.6088788,0,Статья 13. Особенности обработки персональных данных в государственных или муниципальных информационных системах персональных данных,Какие персональные данные обрабатываются в государственных или муниципальных информационных системах?
482,What is the purpose of the processing of personal data in a state or municipal information system?,Article 13. Features of the processing of personal data in state or municipal information systems of personal data,0.8195512,0.6570676,0,Статья 13. Особенности обработки персональных данных в государственных или муниципальных информационных системах персональных данных,Какова цель обработки персональных данных в государственной или муниципальной информационной системе?
483,What is one of the features of state or municipal information systems of personal data?,Article 13. Features of the processing of personal data in state or municipal information systems of personal data,0.8217165,0.6578356,0,Статья 13. Особенности обработки персональных данных в государственных или муниципальных информационных системах персональных данных,Какова одна из особенностей государственных или муниципальных информационных систем персональных данных?
484,What is the purpose of the processing of personal data in state or municipal information systems?,Article 13. Features of the processing of personal data in state or municipal information systems of personal data,0.8224531,0.65581495,0,Статья 13. Особенности обработки персональных данных в государственных или муниципальных информационных системах персональных данных,Какова цель обработки персональных данных в государственных или муниципальных информационных системах?
485,What does the state create in their power?,"1. State bodies, municipal bodies create, within their powers established in accordance with federal laws, state or municipal information systems of personal data.",0.5922678,0.37535048,0,"1. Государственные органы, муниципальные органы создают в пределах своих полномочий, установленных в соответствии с федеральными законами, государственные или муниципальные информационные системы персональных данных.",Что государство создает в своих силах?
486,What is the definition of a state body?,"1. State bodies, municipal bodies create, within their powers established in accordance with federal laws, state or municipal information systems of personal data.",0.6188641,0.5373449,0,"1. Государственные органы, муниципальные органы создают в пределах своих полномочий, установленных в соответствии с федеральными законами, государственные или муниципальные информационные системы персональных данных.",Каково определение государственного органа?
487,"What are the other two types of entities that create, within their powers established by federal laws, personal data?","1. State bodies, municipal bodies create, within their powers established in accordance with federal laws, state or municipal information systems of personal data.",0.6659427,0.63414603,2,"1. Государственные органы, муниципальные органы создают в пределах своих полномочий, установленных в соответствии с федеральными законами, государственные или муниципальные информационные системы персональных данных.","Какие еще два вида субъектов создают в пределах своих полномочий, установленных федеральными законами, персональные данные?"
488,What do state bodies create?,"1. State bodies, municipal bodies create, within their powers established in accordance with federal laws, state or municipal information systems of personal data.",0.62151766,0.45904586,0,"1. Государственные органы, муниципальные органы создают в пределах своих полномочий, установленных в соответствии с федеральными законами, государственные или муниципальные информационные системы персональных данных.",Что создают государственные органы?
489,What specifics may federal laws establish in state and municipal information systems of personal data?,"2. Federal laws may establish the specifics of accounting for personal data in state and municipal information systems of personal data, including the use of various methods of designating the ownership of personal data contained in the relevant state or municipal information system of personal data, to a specific subject of personal data.",0.8430877,0.79096985,0,"2. Федеральными законами могут быть установлены особенности учета персональных данных в государственных и муниципальных информационных системах персональных данных, в том числе использование различных способов обозначения принадлежности персональных данных, содержащихся в соответствующей государственной или муниципальной информационной системе персональных данных, конкретному субъекту персональных данных.",Какие особенности могут быть установлены федеральными законами в государственных и муниципальных информационных системах персональных данных?
490,What does federal laws establish about accounting for personal data in state and municipal information systems?,"2. Federal laws may establish the specifics of accounting for personal data in state and municipal information systems of personal data, including the use of various methods of designating the ownership of personal data contained in the relevant state or municipal information system of personal data, to a specific subject of personal data.",0.8783197,0.8642853,0,"2. Федеральными законами могут быть установлены особенности учета персональных данных в государственных и муниципальных информационных системах персональных данных, в том числе использование различных способов обозначения принадлежности персональных данных, содержащихся в соответствующей государственной или муниципальной информационной системе персональных данных, конкретному субъекту персональных данных.",Что устанавливают федеральные законы об учете персональных данных в государственных и муниципальных информационных системах?
491,Where can federal laws establish the specifics of accounting for personal data?,"2. Federal laws may establish the specifics of accounting for personal data in state and municipal information systems of personal data, including the use of various methods of designating the ownership of personal data contained in the relevant state or municipal information system of personal data, to a specific subject of personal data.",0.83539605,0.85394645,0,"2. Федеральными законами могут быть установлены особенности учета персональных данных в государственных и муниципальных информационных системах персональных данных, в том числе использование различных способов обозначения принадлежности персональных данных, содержащихся в соответствующей государственной или муниципальной информационной системе персональных данных, конкретному субъекту персональных данных.",Где федеральными законами могут устанавливаться особенности учета персональных данных?
492,What can be designated in a state or municipal information system to a specific subject of personal data?,"2. Federal laws may establish the specifics of accounting for personal data in state and municipal information systems of personal data, including the use of various methods of designating the ownership of personal data contained in the relevant state or municipal information system of personal data, to a specific subject of personal data.",0.7256948,0.5567335,1,"2. Федеральными законами могут быть установлены особенности учета персональных данных в государственных и муниципальных информационных системах персональных данных, в том числе использование различных способов обозначения принадлежности персональных данных, содержащихся в соответствующей государственной или муниципальной информационной системе персональных данных, конкретному субъекту персональных данных.",Что может быть отнесено в государственной или муниципальной информационной системе к конкретному субъекту персональных данных?
493,What is one way that federal laws may designate the ownership of personal data?,"2. Federal laws may establish the specifics of accounting for personal data in state and municipal information systems of personal data, including the use of various methods of designating the ownership of personal data contained in the relevant state or municipal information system of personal data, to a specific subject of personal data.",0.79400206,0.73676944,0,"2. Федеральными законами могут быть установлены особенности учета персональных данных в государственных и муниципальных информационных системах персональных данных, в том числе использование различных способов обозначения принадлежности персональных данных, содержащихся в соответствующей государственной или муниципальной информационной системе персональных данных, конкретному субъекту персональных данных.",Каким образом федеральные законы могут определять право собственности на персональные данные?
494,Where can federal laws designate the ownership of personal data?,"2. Federal laws may establish the specifics of accounting for personal data in state and municipal information systems of personal data, including the use of various methods of designating the ownership of personal data contained in the relevant state or municipal information system of personal data, to a specific subject of personal data.",0.78395194,0.7658138,0,"2. Федеральными законами могут быть установлены особенности учета персональных данных в государственных и муниципальных информационных системах персональных данных, в том числе использование различных способов обозначения принадлежности персональных данных, содержащихся в соответствующей государственной или муниципальной информационной системе персональных данных, конкретному субъекту персональных данных.",Где федеральными законами может быть определено право собственности на персональные данные?
495,What may federal laws establish specifics of?,"2. Federal laws may establish the specifics of accounting for personal data in state and municipal information systems of personal data, including the use of various methods of designating the ownership of personal data contained in the relevant state or municipal information system of personal data, to a specific subject of personal data.",0.55876195,0.3591752,5,"2. Федеральными законами могут быть установлены особенности учета персональных данных в государственных и муниципальных информационных системах персональных данных, в том числе использование различных способов обозначения принадлежности персональных данных, содержащихся в соответствующей государственной или муниципальной информационной системе персональных данных, конкретному субъекту персональных данных.",Особенности чего могут быть установлены федеральными законами?
496,What does federal laws establish about the accounting of personal data?,"2. Federal laws may establish the specifics of accounting for personal data in state and municipal information systems of personal data, including the use of various methods of designating the ownership of personal data contained in the relevant state or municipal information system of personal data, to a specific subject of personal data.",0.8460387,0.86670375,0,"2. Федеральными законами могут быть установлены особенности учета персональных данных в государственных и муниципальных информационных системах персональных данных, в том числе использование различных способов обозначения принадлежности персональных данных, содержащихся в соответствующей государственной или муниципальной информационной системе персональных данных, конкретному субъекту персональных данных.",Что устанавливают федеральные законы об учете персональных данных?
497,What may federal laws establish the specifics of accounting for personal data in?,"2. Federal laws may establish the specifics of accounting for personal data in state and municipal information systems of personal data, including the use of various methods of designating the ownership of personal data contained in the relevant state or municipal information system of personal data, to a specific subject of personal data.",0.8338048,0.8734265,0,"2. Федеральными законами могут быть установлены особенности учета персональных данных в государственных и муниципальных информационных системах персональных данных, в том числе использование различных способов обозначения принадлежности персональных данных, содержащихся в соответствующей государственной или муниципальной информационной системе персональных данных, конкретному субъекту персональных данных.",В чем могут быть установлены федеральными законами особенности учета персональных данных?
498,What types of data may federal laws establish the specifics of accounting for?,"2. Federal laws may establish the specifics of accounting for personal data in state and municipal information systems of personal data, including the use of various methods of designating the ownership of personal data contained in the relevant state or municipal information system of personal data, to a specific subject of personal data.",0.7362909,0.72201663,0,"2. Федеральными законами могут быть установлены особенности учета персональных данных в государственных и муниципальных информационных системах персональных данных, в том числе использование различных способов обозначения принадлежности персональных данных, содержащихся в соответствующей государственной или муниципальной информационной системе персональных данных, конкретному субъекту персональных данных.",Особенности учета каких видов данных могут быть установлены федеральными законами?
499,What does federal laws establish the specifics of accounting for?,"2. Federal laws may establish the specifics of accounting for personal data in state and municipal information systems of personal data, including the use of various methods of designating the ownership of personal data contained in the relevant state or municipal information system of personal data, to a specific subject of personal data.",0.60459334,0.61437273,1,"2. Федеральными законами могут быть установлены особенности учета персональных данных в государственных и муниципальных информационных системах персональных данных, в том числе использование различных способов обозначения принадлежности персональных данных, содержащихся в соответствующей государственной или муниципальной информационной системе персональных данных, конкретному субъекту персональных данных.",Какие федеральные законы устанавливают особенности бухгалтерского учета?
